project,month,days_t,net_tvl,borrowed,supply,util,days_f,fees,revenue,holders_rev,supply_side_rev,protocol_rev,ann,rev_to_supply,rev_to_borrow,fees_to_borrow,take,passthru,holders_share
venus-core-pool,2025-09,30,1936848172,876161664,2813009836,0.3115,30,2848036,426840,426806,2421233,127,12.166666666666666,0.18461435625069034,0.5927239473467764,3.9548756913731693,14.987170105995851,85.0141290348858,99.99203448599006
venus-core-pool,2025-10,31,2043176254,1026784473,3069960727,0.3345,31,3164035,602128,601760,2562259,528,11.774193548387096,0.2309336256503592,0.6904634613522467,3.6282161898128904,19.030383671482774,80.98074136348049,99.9388834267797
venus-core-pool,2025-11,30,1679302100,789640646,2468942746,0.3198,30,2097484,387082,387082,1710387,0,12.166666666666666,0.19074956980256627,0.5964102393314067,3.231772426601589,18.454586542734056,81.5446983147428,100.0
venus-core-pool,2025-12,31,1505952341,715168528,2221120869,0.322,31,1711284,279247,111696,1432024,167550,11.774193548387096,0.14802923477490643,0.45973894223243156,2.8173763586333407,16.317981118271426,83.68125921822444,39.998997303462524
venus-core-pool,2026-01,31,1653898575,769088185,2422986759,0.3174,31,1868205,281062,112422,1587136,168630,11.774193548387096,0.13657847591633387,0.4302859479107424,2.8600890882317374,15.044494581697403,84.9551307270883,39.99900377852573
venus-core-pool,2026-02,28,1328617586,543898195,1872515781,0.2905,28,1101531,161728,64684,939793,97027,13.035714285714286,0.11258863724363988,0.38761665682674307,2.640060865224446,14.682110626028683,85.31698154659287,39.99554808072814
venus-core-pool,2026-03,31,1250233505,512482722,1762716227,0.2907,31,1121741,171838,68731,949892,103096,11.774193548387096,0.11478046437520778,0.3947945528918226,2.5771787180683314,15.318865941424981,84.68015344005434,39.99755583747483
venus-core-pool,2026-04,30,1188611895,474558301,1663170196,0.2853,30,949955,146152,58455,803800,87687,12.166666666666666,0.10691525563308413,0.374702678874153,2.4354828076926487,15.385149822886346,84.61453437268082,39.99603152881931
venus-core-pool,2026-05,31,1185748988,462094550,1647843538,0.2804,31,926179,160491,60823,765686,99671,11.774193548387096,0.1146742426206118,0.4089319159410544,2.3599089853908928,17.328291831276676,82.67149222774431,37.89807528147996
venus-core-pool,2026-06,30,1040272816,400063304,1440336120,0.2778,30,1016985,350760,98977,666222,251771,12.166666666666666,0.2962905630666264,1.0667261799147667,3.0928399021570843,34.49018422100621,65.50952078939217,28.21786976850268
